pay_item_number_raw,pay_item_number,subitem,suffix,description,unit,valid_values_1,valid_values_2,valid_values_3,source_file
1101 (1) d6,1101,1,d6,Electric Wire 1C X 50 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d7,1101,1,d7,Electric Wire 1C X 70 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d8,1101,1,d8,Electric Wire 1C X 95 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d9,1101,1,d9,Electric Wire 1C X 120 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d10,1101,1,d10,Electric Wire 1C X 185 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d11,1101,1,d11,Electric Wire 1C X 240 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d12,1101,1,d12,Electric Wire 1C X 300 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d13,1101,1,d13,Electric Wire 1C X 400 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d14,1101,1,d14,Electric Wire 1C X 500 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e1,1101,1,e1,Electric Wire 2C X 4 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e2,1101,1,e2,Electric Wire 2C X 6 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e3,1101,1,e3,Electric Wire 2C X 10 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e4,1101,1,e4,Electric Wire 2C X 25 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e5,1101,1,e5,Electric Wire 2C X 35 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e6,1101,1,e6,Electric Wire 2C X 50 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e7,1101,1,e7,Electric Wire 2C X 70 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e8,1101,1,e8,Electric Wire 2C X 95 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e9,1101,1,e9,Electric Wire 2C X 120 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e10,1101,1,e10,Electric Wire 2C X 185 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e11,1101,1,e11,Electric Wire 2C X 240 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e12,1101,1,e12,Electric Wire 2C X 300 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e13,1101,1,e13,Electric Wire 2C X 400 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) e14,1101,1,e14,Electric Wire 2C X 500 XLPE Page 6 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Roll,,,,Part F_1100.pdf
1101 (1) f1,1101,1,f1,Electric Wire 3C X 4 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f2,1101,1,f2,Electric Wire 3C X 6 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f3,1101,1,f3,Electric Wire 3C X 10 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f4,1101,1,f4,Electric Wire 3C X 25 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f5,1101,1,f5,Electric Wire 3C X 35 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f6,1101,1,f6,Electric Wire 3C X 50 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f7,1101,1,f7,Electric Wire 3C X 70 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f8,1101,1,f8,Electric Wire 3C X 95 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f9,1101,1,f9,Electric Wire 3C X 120 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f10,1101,1,f10,Electric Wire 3C X 185 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f11,1101,1,f11,Electric Wire 3C X 240 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f12,1101,1,f12,Electric Wire 3C X 300 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f13,1101,1,f13,Electric Wire 3C X 400 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f14,1101,1,f14,Electric Wire 3C X 500 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) f15,1101,1,f15,Electric Wire 3C X 14 XLPE 1.6 mm dia.,Roll,,,,Part F_1100.pdf
1101 (2) a1,1101,2,a1,Electric Wire Solid TW/THHN/THWN2 2.0 mm dia.,Meter,,,,Part F_1100.pdf
1101 (2) a2,1101,2,a2,Electric Wire Solid TW/THHN/THWN2 2.6 mm dia.,Meter,,,,Part F_1100.pdf
1101 (2) a3,1101,2,a3,Electric Wire Solid TW/THHN/THWN2 3.2 mm dia.,Meter,,,,Part F_1100.pdf
1101 (2) a4,1101,2,a4,Electric Wire Solid TW/THHN/THWN2 2.0 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b1,1101,2,b1,Electric Wire Stranded TW/THHN/THWN2 3.5 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b2,1101,2,b2,Electric Wire Stranded TW/THHN/THWN2 5.5 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b3,1101,2,b3,Electric Wire Stranded TW/THHN/THWN2 8.0 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b4,1101,2,b4,Electric Wire Stranded TW/THHN/THWN2 Page 7 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS 14 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b5,1101,2,b5,Electric Wire Stranded TW/THHN/THWN2 22 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b6,1101,2,b6,Electric Wire Stranded TW/THHN/THWN2 30 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b7,1101,2,b7,Electric Wire Stranded TW/THHN/THWN2 38 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b8,1101,2,b8,Electric Wire Stranded TW/THHN/THWN2 50 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b9,1101,2,b9,Electric Wire Stranded TW/THHN/THWN2 60 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b10,1101,2,b10,Electric Wire Stranded TW/THHN/THWN2 80 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b11,1101,2,b11,Electric Wire Stranded TW/THHN/THWN2 100 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b12,1101,2,b12,Electric Wire Stranded TW/THHN/THWN2 125 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b13,1101,2,b13,Electric Wire Stranded TW/THHN/THWN2 150 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b14,1101,2,b14,Electric Wire Stranded TW/THHN/THWN2 200 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b15,1101,2,b15,Electric Wire Stranded TW/THHN/THWN2 250 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b16,1101,2,b16,Electric Wire Stranded TW/THHN/THWN2 325 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b17,1101,2,b17,Electric Wire Stranded TW/THHN/THWN2 400 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b18,1101,2,b18,Electric Wire Stranded TW/THHN/THWN2 500 mm2,Meter,,,,Part F_1100.pdf
1101 (2) b19,1101,2,b19,Electric Wire Stranded TW/THHN/THWN2,Meter,,,,Part F_1100.pdf
1101 (2) c1,1101,2,c1,Electric Wire 1C X 4 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c2,1101,2,c2,Electric Wire 1C X 6 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c3,1101,2,c3,Electric Wire 1C X 10 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c4,1101,2,c4,Electric Wire 1C X 25 XLPE Page 8 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part F_1100.pdf
1101 (2) c5,1101,2,c5,Electric Wire 1C X 35 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c6,1101,2,c6,Electric Wire 1C X 50 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c7,1101,2,c7,Electric Wire 1C X 70 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c8,1101,2,c8,Electric Wire 1C X 95 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c9,1101,2,c9,Electric Wire 1C X 120 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c10,1101,2,c10,Electric Wire 1C X 185 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c11,1101,2,c11,Electric Wire 1C X 240 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c12,1101,2,c12,Electric Wire 1C X 300 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c13,1101,2,c13,Electric Wire 1C X 400 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) c14,1101,2,c14,Electric Wire 1C X 500 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d1,1101,2,d1,Electric Wire 2C X 4 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d2,1101,2,d2,Electric Wire 2C X 6 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d3,1101,2,d3,Electric Wire 2C X 10 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d4,1101,2,d4,Electric Wire 2C X 25 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d5,1101,2,d5,Electric Wire 2C X 35 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d6,1101,2,d6,Electric Wire 2C X 50 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d7,1101,2,d7,Electric Wire 2C X 70 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d8,1101,2,d8,Electric Wire 2C X 95 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d9,1101,2,d9,Electric Wire 2C X 120 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d10,1101,2,d10,Electric Wire 2C X 185 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d11,1101,2,d11,Electric Wire 2C X 240 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d12,1101,2,d12,Electric Wire 2C X 300 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d13,1101,2,d13,Electric Wire 2C X 400 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) d14,1101,2,d14,Electric Wire 2C X 500 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e1,1101,2,e1,Electric Wire 3C X 4 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e2,1101,2,e2,Electric Wire 3C X 6 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e3,1101,2,e3,Electric Wire 3C X 10 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e4,1101,2,e4,Electric Wire 3C X 25 XLPE Page 9 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part F_1100.pdf
1101 (2) e5,1101,2,e5,Electric Wire 3C X 35 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e6,1101,2,e6,Electric Wire 3C X 50 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e7,1101,2,e7,Electric Wire 3C X 70 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e8,1101,2,e8,Electric Wire 3C X 95 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e9,1101,2,e9,Electric Wire 3C X 120 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e10,1101,2,e10,Electric Wire 3C X 185 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e11,1101,2,e11,Electric Wire 3C X 240 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e12,1101,2,e12,Electric Wire 3C X 300 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e13,1101,2,e13,Electric Wire 3C X 400 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) e14,1101,2,e14,Electric Wire 3C X 500 XLPE,Meter,,,,Part F_1100.pdf
1101 (2) f1,1101,2,f1,Electric Wire 14 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (2) f2,1101,2,f2,Electric Wire 22 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (2) f3,1101,2,f3,Electric Wire 30 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (2) f4,1101,2,f4,Electric Wire 38 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (2) f5,1101,2,f5,Electric Wire 50 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (2) f6,1101,2,f6,Electric Wire 60 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (2) f7,1101,2,f7,Electric Wire 80 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (2) f8,1101,2,f8,Electric Wire 100 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (2) f9,1101,2,f9,Electric Wire 125 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (2) f10,1101,2,f10,Electric Wire 150 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (2) f11,1101,2,f11,Electric Wire 200 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (2) f12,1101,2,f12,Electric Wire 250 mm² ACSR,Meter,,,,Part F_1100.pdf
1101 (3),1101,3,,Single Pole Wall Switch on one switch plate,Set,,,,Part F_1100.pdf
1101 (4),1101,4,,Duplex (2 Single Pole Wall Switches on one switch plate),Set,,,,Part F_1100.pdf
1101 (5),1101,5,,Triplex (3 Single Pole Wall Switches on one switch plate),Set,,,,Part F_1100.pdf
1101 (6),1101,6,,Three-way Switch,Set,,,,Part F_1100.pdf
1101 (7),1101,7,,Four-way Switch,Set,,,,Part F_1100.pdf
1101 (8),1101,8,,Double Pole Switch Page 10 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Set,,,,Part F_1100.pdf
1101 (9),1101,9,,Three Pole Switch,Set,,,,Part F_1100.pdf
1101 (10),1101,10,,Dimmer Switch,Set,,,,Part F_1100.pdf
1101 (11),1101,11,,Master Selector Switch,Set,,,,Part F_1100.pdf
1101 (12),1101,12,,Automatic Door Switch,Set,,,,Part F_1100.pdf
1101 (13),1101,13,,Switch Bank,Set,,,,Part F_1100.pdf
1101 (14),1101,14,,a Passive Infra-Red (Presence) Detector/Switch Surface Mounted,Set,,,,Part F_1100.pdf
1101 (14),1101,14,,b Passive Infra-Red (Presence) Detector/Switch Recessed,Set,,,,Part F_1100.pdf
1101 (15),1101,15,,"Single Convenience Outlet/Receptacle, Grounding Type (GT)",Set,,,,Part F_1100.pdf
1101 (16),1101,16,,Duplex Convenience Outlets/Receptacles (GT),Set,,,,Part F_1100.pdf
1101 (17),1101,17,,Heavy Duty Convenience Outlet/Receptacles (GT),Set,,,,Part F_1100.pdf
1101 (18),1101,18,,Weatherproof Single Convenience Outlet/Receptacle (GT),Set,,,,Part F_1100.pdf
1101 (19),1101,19,,Weatherproof Duplex Convenience Outlet/Receptacle (GT),Set,,,,Part F_1100.pdf
1101 (20),1101,20,,"Special Purpose Outlet/Receptacle, (GT) for ACU, WH, etc",Set,,,,Part F_1100.pdf
1101 (21),1101,21,,Pop-up type/Floor Single Convenience Outlet/Receptacle (GT) Pop-up type/Floor Duplex Convenience Outlet/Receptacle,Set,,,,Part F_1100.pdf
1101 (22),1101,22,,Pop-up type/Floor Triplex Convenience Outlet/Receptacle,Set,,,,Part F_1100.pdf
1101 (23),1101,23,,Explosion Proof type Single Convenience Outlet/Receptacle,Set,,,,Part F_1100.pdf
1101 (24),1101,24,,Explosion Proof type Duplex Convenience Outlet/Receptacle,Set,,,,Part F_1100.pdf
1101 (25),1101,25,,Single Convenience Outlet with Ground Fault Circuit,Set,,,,Part F_1100.pdf
1101 (26),1101,26,,Interrupter (GFCI),Set,,,,Part F_1100.pdf
1101 (27),1101,27,,Duplex Convenience Outlet with GFCI,Set,,,,Part F_1100.pdf
1101 (28),1101,28,,PVC Tape 19 mm dia. x 18 mm,Roll,,,,Part F_1100.pdf
1101 (29),1101,29,,Rubber Tape/Friction Tape 19 mm dia. x 227 g,Roll,,,,Part F_1100.pdf
1101 (30),1101,30,,a Mica Tubing 6.35 mm,Meter,,,,Part F_1100.pdf
1101 (30),1101,30,,b Mica Tubing 12.7 mm Page 11 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part F_1100.pdf
1101 (30),1101,30,,c Mica Tubing 19.0 mm,Meter,,,,Part F_1100.pdf
1101 (30),1101,30,,d Mica Tubing 25.40 mm,Meter,,,,Part F_1100.pdf
1101 (31),1101,31,,Messenger Wire,Meter,,,,Part F_1100.pdf
1101 (32),1101,32,,Guy Wire,Meter,,,,Part F_1100.pdf
1101 (33),1101,33,,Wires and Wiring Devices,Lump Sum,,,,Part F_1100.pdf
1101 (34),1101,34,,Repair/Replacement of Wires and Wiring Devices,Lump Sum,,,,Part F_1100.pdf
1102 (1),1102,1,,"Panelboard with Main & Branch Breakers Motor Control Center with Main, Branch Breakers and Motor",Lump Sum,,,,Part F_1100.pdf
1102 (2),1102,2,,"Starters/Controllers, NEMA 1, Flushed Type",Set,,,,Part F_1100.pdf
1102 (3),1102,3,,"Copper Bus Bar NEMA I Enclosure, Surface Mounted",Set,,,,Part F_1100.pdf
1102 (4),1102,4,,"Manual Transfer Switch with Renewable Fuse, Flushed Type",Set,,,,Part F_1100.pdf
1102 (5),1102,5,,"Manual Transfer Switch, Breaker Type, Free Standing",Set,,,,Part F_1100.pdf
1102 (6),1102,6,,"Automatic Transfer Switch, Breaker Type, Flushed Type",Set,,,,Part F_1100.pdf
1102 (7),1102,7,,"Automatic Transfer Switch, Breaker Type, Free Standing Pad Mounted Distrbution Transformer (OISC) with Complete",Set,,,,Part F_1100.pdf
1102 (8),1102,8,,Accessories Pad Mounted Distrbution Transformer (OISC) with Complete,Lump Sum,,,,Part F_1100.pdf
1102 (9),1102,9,,Accessories Pole Mounted Distribution Transformer (OISC) with Complete,Lump Sum,,,,Part F_1100.pdf
1102 (10),1102,10,,"Accessories, Pole Type Pole Mounted Power Transformer (OISC) with Complete",Lump Sum,,,,Part F_1100.pdf
1102 (11),1102,11,,"Accessories, Single or Three Phase, Pole Type or Flatform Dry Type Transformer, Single or Three Phase, Free Standing",Lump Sum,,,,Part F_1100.pdf
1102 (12),1102,12,,or Flatform Page 12 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Lump Sum,,,,Part F_1100.pdf
1102 (13),1102,13,,Current Transformer,Lump Sum,,,,Part F_1100.pdf
1102 (14),1102,14,,Potential Transformer,Lump Sum,,,,Part F_1100.pdf
1102 (15),1102,15,,Isolation Transformer,Lump Sum,,,,Part F_1100.pdf
1102 (16) a1,1102,16,a1,Generator single or three phase Stand-by,Lump Sum,,,,Part F_1100.pdf
1102 (16) a2,1102,16,a2,Generator single or three phase Continuous,Lump Sum,,,,Part F_1100.pdf
1102 (17),1102,17,,Synchronizing Panel for Generators,Lump Sum,,,,Part F_1100.pdf
1102 (18),1102,18,,"Solar Panel with Inverter, Battery and Other Devices",Lump Sum,,,,Part F_1100.pdf
1102 (19),1102,19,,Apitong or Approved Equal Creosoted Wood Pole,Piece,,,,Part F_1100.pdf
1102 (20),1102,20,,Anchor Rod,Piece,,,,Part F_1100.pdf
1102 (21),1102,21,,Anchor Log,Piece,,,,Part F_1100.pdf
1102 (22),1102,22,,"Powerload Studs with Nuts Repair/Replacement of Power Load Center, Switchgear and",Piece,,,,Part F_1100.pdf
1102 (23),1102,23,,"Panelboards, and other Overcurrent Protection Devices Battery Charger (Automatic Charger) with Battery",Piece,,,,Part F_1100.pdf
1102 (24),1102,24,,and Console Panel,Lump Sum,,,,Part F_1100.pdf
1103 (1),1103,1,,Lighting Fixtures,Lump Sum,,,,Part F_1100.pdf
1104 (1),1104,1,,Auxiliary System Page 13 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS Item 1105 – NETWORK CABLING SYSTEM,Lump Sum,,,,Part F_1100.pdf
1105 (1),1105,1,,a Data Cabinet Wall type,Set,,,,Part F_1100.pdf
1105 (1),1105,1,,b Data Cabinet Free standing,Set,,,,Part F_1100.pdf
1105 (2),1105,2,,a Distribution Frame Panel Sub,Set,,,,Part F_1100.pdf
1105 (2),1105,2,,b Distribution Frame Panel Main,Set,,,,Part F_1100.pdf
1105 (3),1105,3,,Terminal Block,Set,,,,Part F_1100.pdf
1105 (4),1105,4,,UTP Patch Panel,Set,,,,Part F_1100.pdf
1105 (5),1105,5,,Fiber Connect Panel,Set,,,,Part F_1100.pdf
1105 (6),1105,6,,UTP CAT5 Cable,Roll,,,,Part F_1100.pdf
1105 (7),1105,7,,UTP CAT6 Cable,Roll,,,,Part F_1100.pdf
1105 (8),1105,8,,Fiber Optic Cable,Roll,,,,Part F_1100.pdf
1105 (9),1105,9,,Fiber Connector,Set,,,,Part F_1100.pdf
1105 (10),1105,10,,Patch Cord CAT5,Set,,,,Part F_1100.pdf
1105 (11),1105,11,,Patch Cord CAT6,Set,,,,Part F_1100.pdf
1105 (12),1105,12,,Fiber Patch Cord,Set,,,,Part F_1100.pdf
1105 (13),1105,13,,Modular Jack,Set,,,,Part F_1100.pdf
1105 (14),1105,14,,Wall Plate Single (Voice/Data Outlet),Set,,,,Part F_1100.pdf
1105 (15),1105,15,,Wall Plate 2 port (Voice/Data Outlet),Set,,,,Part F_1100.pdf
1105 (16),1105,16,,Wall Plate 3 port (Voice/Data Outlet),Set,,,,Part F_1100.pdf
1105 (17),1105,17,,Floor Mounted 2 port (Voice/Data Outlet),Set,,,,Part F_1100.pdf
1105 (18),1105,18,,Floor Mounted 3 port (Voice/Data Outlet),Set,,,,Part F_1100.pdf
1105 (19),1105,19,,"Network Equipment (Servers, Fire Wall, Repeaters, etc.)",Unit,,,,Part F_1100.pdf
1105 (20),1105,20,,Network Cabling,Lump Sum,,,,Part F_1100.pdf
1105 (21),1105,21,,UTP CAT5e Cable Page 14 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Roll,,,,Part F_1100.pdf
1106 (1),1106,1,,CCTV System,Lump Sum,,,,Part F_1100.pdf
1106 (2),1106,2,,IP - Fixed Dome Camera,Set,,,,Part F_1100.pdf
1106 (3),1106,3,,IP - Pinhole Type Camera,Set,,,,Part F_1100.pdf
1106 (4),1106,4,,Movable Camera,Set,,,,Part F_1100.pdf
1106 (5),1106,5,,Weather Proof Camera,Set,,,,Part F_1100.pdf
1106 (6),1106,6,,Data Digital Video Recorder,Set,,,,Part F_1100.pdf
1106 (7),1106,7,,Network Video Recorder,Set,,,,Part F_1100.pdf
1106 (8),1106,8,,Centralized Power Supply with UPS,Set,,,,Part F_1100.pdf
1106 (9),1106,9,,"LCD, LED Monitor",Set,,,,Part F_1100.pdf
1106 (10),1106,10,,CCTV Console,Set,,,,Part F_1100.pdf
1106 (11),1106,11,,RG59 Coaxial Cable,Meter,,,,Part F_1100.pdf
1106 (12),1106,12,,Digital Disc Recorder,Set,,,,Part F_1100.pdf
1107 (1),1107,1,,Public Address System,Lump Sum,,,,Part F_1100.pdf
1107 (2),1107,2,,System Management Amplifier,Set,,,,Part F_1100.pdf
1107 (3),1107,3,,Power Amplifier,Set,,,,Part F_1100.pdf
1107 (4),1107,4,,Voice Announcement Board,Set,,,,Part F_1100.pdf
1107 (5),1107,5,,Remote Microphone,Set,,,,Part F_1100.pdf
1107 (6),1107,6,,Ceiling Speaker,Set,,,,Part F_1100.pdf
1107 (7),1107,7,,Wall Mount Speaker Page 15 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Set,,,,Part F_1100.pdf
1107 (8),1107,8,,CD/DVD Player,Unit,,,,Part F_1100.pdf
1107 (9),1107,9,,AM/FM Tuner,Unit,,,,Part F_1100.pdf
1107 (10),1107,10,,Fabricated Rack,Set,,,,Part F_1100.pdf
1107 (11),1107,11,,Booster Transformer,Set,,,,Part F_1100.pdf
1107 (12),1107,12,,Horn,Set,,,,Part F_1100.pdf
1107 (13),1107,13,,Wires/Cables,Lump Sum,,,,Part F_1100.pdf
1108 (1),1108,1,,Door Access and Card Reader System,Lump Sum,,,,Part F_1100.pdf
1108 (2),1108,2,,Security Cabinet,Unit,,,,Part F_1100.pdf
1108 (3),1108,3,,Magnetic Card,Piece,,,,Part F_1100.pdf
1108 (4),1108,4,,Magnetic Door Contact,Set,,,,Part F_1100.pdf
1109 (1),1109,1,,Grounding System,Lump Sum,,,,Part F_1100.pdf
1109 (2),1109,2,,Exothermic Weld Connector,Piece,,,,Part F_1100.pdf
1109 (3),1109,3,,Air Terminal,Set,,,,Part F_1100.pdf
1109 (4),1109,4,,a Bare Copper Wire 2.0 mm2,Meter,,,,Part F_1100.pdf
1109 (4),1109,4,,b Bare Copper Wire 3.5 mm2,Meter,,,,Part F_1100.pdf
1109 (4),1109,4,,c Bare Copper Wire 5.5 mm2,Meter,,,,Part F_1100.pdf
1109 (4),1109,4,,d Bare Copper Wire 8.0 mm2,Meter,,,,Part F_1100.pdf
1109 (4),1109,4,,e Bare Copper Wire 14 mm2 Page 16 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part F_1100.pdf
1109 (4),1109,4,,g Bare Copper Wire 22 mm2,Meter,,,,Part F_1100.pdf
1109 (4),1109,4,,h Bare Copper Wire 30 mm2,Meter,,,,Part F_1100.pdf
1109 (4),1109,4,,i Bare Copper Wire 38 mm2,Meter,,,,Part F_1100.pdf
1109 (4),1109,4,,j Bare Copper Wire 50 mm2,Meter,,,,Part F_1100.pdf
1109 (4),1109,4,,k Bare Copper Wire 60 mm2,Meter,,,,Part F_1100.pdf
1109 (4),1109,4,,l Bare Copper Wire 80 mm2,Meter,,,,Part F_1100.pdf
1109 (4),1109,4,,m Bare Copper Wire 100 mm2,Meter,,,,Part F_1100.pdf
1109 (5),1109,5,,a Grounding Clamps for Electric Wires 8.0 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,b Grounding Clamps for Electric Wires 14 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,c Grounding Clamps for Electric Wires 16 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,d Grounding Clamps for Electric Wires 20 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,e Grounding Clamps for Electric Wires 22 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,f Grounding Clamps for Electric Wires 25 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,g Grounding Clamps for Electric Wires 30 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,h Grounding Clamps for Electric Wires 38 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,i Grounding Clamps for Electric Wires 50 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,j Grounding Clamps for Electric Wires 60 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,k Grounding Clamps for Electric Wires 80 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,l Grounding Clamps for Electric Wires 100 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,m Grounding Clamps for Electric Wires 125 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,n Grounding Clamps for Electric Wires 200 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,o Grounding Clamps for Electric Wires 250 mm2,Piece,,,,Part F_1100.pdf
1109 (5),1109,5,,p Grounding Clamps for Electric Wires 400 mm2,Piece,,,,Part F_1100.pdf
1109 (6),1109,6,,a Grounding Rod Copper Clad 14.2 mm dia. x 3 m Length,,,,,Part F_1100.pdf
1109 (6),1109,6,,b Grounding Rod Copper Clad 16 mm dia. x 3 m Length,,,,,Part F_1100.pdf
1109 (6),1109,6,,c Grounding Rod Copper Clad 17.2 mm dia. x 3 m Length,,,,,Part F_1100.pdf
1109 (6),1109,6,,d Grounding Rod Copper Clad 18 mm dia. x 3 m Length,,,,,Part F_1100.pdf
